18,124.74,634,764,1132
19,26.73,559,119,729
33,20.79,380,414,652
62,34.65,824,639,1262
114,40.589999999999996,570,216,780
146,16.83,211,643,1118
156,73.26,802,160,887
163,20.79,317,213,465
164,3.96,146,401,681
179,114.84,490,330,733
186,81.17999999999999,890,1028,1544
215,225.72,639,828,1038
225,38.61,705,107,759
227,213.84,841,864,1374
247,45.54,623,181,748
275,18.81,466,744,924
311,93.06,593,557,1253
399,78.21,746,377,1154
421,49.5,932,247,1064
432,51.48,840,298,1036
442,32.67,672,209,815
459,18.81,336,229,492
492,89.1,1089,255,1229
507,150.48,220,983,866
631,176.22,568,871,1138
707,43.56,814,74,837
723,75.24,156,911,751
1003,47.519999999999996,603,314,791
1065,60.39,854,384,1110
1136,237.6,791,806,1279
1187,78.21,623,805,1157
1202,122.76,755,279,901
1216,115.83,591,668,1112
1263,60.39,765,873,1222
1279,69.3,207,863,718
1293,31.68,506,283,739
1306,18.81,430,278,601
1314,175.23,653,894,1302
1323,61.38,352,694,783
1364,51.48,420,807,1028
1384,26.73,417,186,529
1406,46.53,752,276,953
1408,32.67,561,707,1025
1425,60.39,806,163,877
1476,156.42,493,504,844
1508,82.17,823,422,1132
1534,151.47,519,696,971
1542,157.41,788,471,1161
1565,60.39,725,228,824
1582,23.759999999999998,417,245,563
1620,106.92,310,950,919
1650,34.65,587,227,719
1729,91.08,425,799,994
1748,90.09,489,506,771
1892,11.879999999999999,281,686,870
2075,6.93,179,883,749
2081,49.5,230,402,512
2226,47.519999999999996,941,392,1242
2276,37.62,784,122,911
2288,32.67,506,125,584
2381,10.89,253,639,1161
2434,36.63,742,299,926
2440,150.48,532,584,903
2476,36.63,133,749,615
2513,34.65,523,150,597
2528,88.11,390,404,664
2644,34.65,733,109,812
2669,30.69,490,611,919
2724,28.71,501,326,678
2740,36.63,251,768,813
2766,34.65,574,451,849
2807,59.4,991,305,1246
2869,27.72,506,53,527
2874,7.92,164,940,685
2949,83.16,987,319,1141
3028,80.19,387,714,876
3079,15.84,353,96,428
3110,50.49,654,483,951
3232,36.63,345,275,536
3252,35.64,883,744,1200
3301,55.44,1013,187,1100
3357,32.67,689,81,725
3419,95.03999999999999,804,754,1273
3449,40.589999999999996,772,604,1189
3665,50.49,873,335,1056
3747,179.19,676,568,989
3769,50.49,221,934,882
