18,126,774,694,1010
19,28,559,113,721
33,21,380,414,652
62,35,824,639,1262
114,41,575,216,780
146,17,226,643,1091
156,74,802,160,879
163,30,317,213,465
164,4,146,401,681
179,116,490,330,733
186,143,913,1028,1544
215,245,663,824,1027
225,40,709,106,758
227,216,841,829,1366
247,59,627,160,747
275,54,466,744,924
311,207,594,557,972
399,79,746,364,1154
421,50,933,245,1060
432,52,840,296,1036
442,35,672,206,807
459,21,338,227,492
492,104,1093,231,1227
507,252,223,861,866
631,178,573,817,1089
707,44,814,70,834
723,76,156,911,751
1003,93,615,285,771
1065,61,854,371,1110
1136,240,791,806,1279
1187,79,655,737,1157
1202,135,755,276,899
1216,259,657,620,998
1263,61,765,870,1217
1279,70,246,771,634
1293,50,515,283,707
1306,19,435,278,601
1314,177,653,894,1302
1323,62,352,694,781
1364,81,420,799,998
1384,27,418,186,495
1406,47,752,228,951
1408,56,561,658,996
1425,80,809,149,877
1476,158,537,504,842
1508,83,825,422,1128
1534,153,534,696,971
1542,159,788,471,1161
1565,69,733,225,823
1582,24,418,245,558
1620,108,310,950,919
1650,35,596,166,717
1729,92,552,595,986
1748,91,489,503,744
1892,23,374,527,861
2075,7,196,883,749
2081,50,233,285,395
2226,48,973,392,1242
2276,38,784,122,911
2288,33,506,125,584
2381,11,253,639,1161
2434,37,742,280,904
2440,248,546,534,903
2476,79,133,749,615
2513,35,523,150,594
2528,126,406,404,606
2644,35,733,109,811
2669,57,519,545,900
2724,30,504,324,677
2740,37,251,768,813
2766,35,574,451,849
2807,60,991,305,1246
2869,28,506,53,527
2874,19,246,912,679
2949,84,987,307,1141
3028,91,387,714,859
3079,17,353,96,427
3110,51,654,483,951
3232,37,345,275,536
3252,36,883,744,1200
3301,67,1018,163,1093
3357,47,689,81,724
3419,96,804,754,1273
3449,41,772,604,1182
3665,51,873,335,1056
3747,181,676,539,989
3769,51,260,934,882
3770,38,624,301,829
3864,106,293,691,712
3895,13,188,756,697
4033,30,600,354,813
4034,91,475,246,661
4063,46,710,635,1158
4099,65,848,398,1108
4192,28,761,743,1101
4195,71,1086,677,1490
4294,75,491,993,1165
4396,199,545,941,1168
4462,81,1092,361,1375
4585,94,382,664,819
4592,50,908,60,918
4593,126,412,527,820
4625,32,625,59,651
4673,29,281,690,712
4682,35,795,67,818
4693,56,630,585,1061
4724,37,544,237,676
4790,12,308,663,945
4997,38,1354,343,1538
5066,25,701,27,702
5100,12,268,582,683
5142,165,635,579,1025
5143,277,654,976,1216
5225,22,517,692,920
5236,35,643,343,870
5271,17,292,744,1218
5314,66,414,790,999
5332,23,673,889,1235
5361,10,257,548,657
5380,22,595,29,600
5383,32,638,176,724
5461,28,514,329,709
5489,20,228,708,669
5496,40,597,676,1078
5520,89,434,683,925
5568,54,707,311,883
5588,70,777,498,1242
5620,35,652,57,680
5681,32,554,159,632
5692,32,561,196,702
5704,25,618,647,1268
5740,47,869,162,942
5747,24,402,383,686
5856,342,311,779,804
5913,139,182,476,637
5970,22,365,283,555
6109,47,1113,446,1587
6163,30,406,805,890
6244,147,874,451,1171
6254,57,625,207,701
6516,36,750,211,886
6520,35,534,989,1247
6544,39,663,272,781
6658,89,387,395,708
6668,46,863,405,1200
6770,49,1232,386,1646
6821,69,1018,428,1355
6822,284,547,685,1157
6853,217,365,600,779
7133,63,185,558,651
7279,62,460,328,887
7318,70,685,356,975
7384,106,925,387,1127
7418,35,600,129,670
7448,119,481,849,966
7506,37,994,41,997
7581,18,483,116,537
7629,47,757,124,841
7683,80,428,383,701
7693,92,579,885,1252
7778,50,1004,181,1114
7838,72,249,403,855
7856,21,293,135,403
7884,140,743,685,1048
7888,151,317,781,742
7939,42,517,270,745
7989,34,582,704,984
8065,44,1094,754,1609
8108,17,291,861,953
8126,163,307,882,967
8182,200,712,573,1133
8189,83,1471,155,1566
8199,73,376,300,573
8200,116,276,741,832
8204,55,352,138,427
8280,56,479,962,1028
8319,25,504,521,936
8358,27,391,36,398
8446,172,503,645,931
8465,76,426,360,675
8490,51,501,761,908
8516,29,412,269,641
8562,52,410,667,834
8578,56,920,118,978
8610,72,485,300,707
8647,126,709,641,1102
8761,50,901,69,927
8799,45,873,364,1192
8841,27,564,447,926
8937,23,607,128,685
8948,38,363,933,999
8950,195,276,923,852
8955,50,686,119,766
9098,23,243,693,690
9216,39,792,46,799
9306,91,515,202,658
9444,71,757,164,891
